imdb_id,Rating,Review
tt7131622,1,I can't spoil this movie because there's nothing to spoil!!! No plot. Nothing happens. If I submitted this same screenplay to Hollywood it would get rejected.
tt0449059,1,"""I have to admit, I was drawn to this movie because of the great cast and a lot of positive word of mouth. I watched the movie in a very good mood and when it was over, I said, what is the big deal? I did not laugh, I did not cry, I did not feel anything, except that I had seen this movie a dozen or more times already. It really was nothing special. Arkin's comedic performance was a rehashed role that I have seen others play. I remember a film called """"Flirting With Disaster"""" which was kind of a road movie as well, it was better than this. """"Raising Arizona"""" was much funnier than this. The so-called side-splitting ending with the dance to Super Freak was so tipped in commercials that you knew what was coming. Moreover, the dance just keeps going and going, it got so tedious and unfunny. I'm sorry, I don't want to be a cynic, but this film is just being played up way too much and I cannot believe that it was nominated for Best Picture, it was a weak year, but not that weak."""
tt0388795,1,"""I'm in a tiny minority, but I was so disappointed with Brokeback Mountain. I suspect in a few years time people will wonder why it won so many awards - maybe it was just a movie of its time. There is no empathy with the central characters, the falling in love is sudden and brutal, and the pacing throughout was incredibly ponderous. And, for a poor Englishman, trying to understand the muttering dialogue was a real challenge. It was completely cold throughout - none of the characters mattered, nor did their fate stir the slightest emotion. One scene slipped into the next, endlessly, as the movie meandered its way towards a finish. And, boy, did it meander! It seemed to take forever. This movie felt every second of its 2 hours and 15 minutes. Avoid."""
tt0190332,1,"""With the amount over-zealous hype surrounding this film, one would expect something of grand design. Sadly, that's all it is, over-zealous hype. Possibly the most over-hyped film since Star Wars: Phantom Menace. As I sat in the theatre watching this I couldn't help but laugh heartily at the defying gravity antics that only made me want to start singing, """"Spiderman, Spiderman, does whatever a spider can."""" Yes, it is that bad. Two women sitting in front of me kept shooting dirty looks my way, but really how could anyone take this absurd movie seriously? In fact, Jade Fox (the film's remorseless """"bad guy"""")merely alters the hairdo and for some strange reason no one recognizes him. I suppose everyone is blind, and dumb. And that's what this movie is, dumb.First, the acting is on par with every other absurd """"action,"""" gravity defying kung-fu film. Nothing special, period. The script is littered with the most inane dialogue, again like most films of this type. Really, had it been dubbed the pathetic reality of that would be more noticed. The story is, again, on par with every other film in this genre... tinged with a little spaghetti western thrown in for good measure. So, in reality there is nothing special about this film. Nothing!Ok, so perhaps some people will find the gravity-defying antics some sort of brainless entertainment for two hours. I didn't. The action scenes are well choreographed, but when they begin to toss their hands in the air and take off like Superman, crawl around on bamboo tree tops like somekind of monkey, crawl up walls and skip across roofs you just can NOT take it seriously. It's just comical to the extreme. And really, it is so very obvious that these people are on wires, you can practically see them (and in a few scenes, if you pay close attention, you can).This film is too absurd to be any good, too serious to be campy or fun and just doesn't work at all. With the boxoffice booming on this, I can only imagine a select few people are seeing it over and over and over, and in the process tricking their friends into seeing it too. I rarely feel as though I wasted my money when I go see a film, but I DID in fact waste my money when I saw this turkey."""
tt7131622,2,"""I LOVE QT films and couldn't see this movie fast enough. All I can say is what was that all about? It was so boring. Did anyone edit this film? Leonardo's character was not likable. The only person tolerable was Brad Pitt. Nothing happened what so ever. The dialogue was not clever. The movie never went anywhere at all. It was just endless scenes of other movies being made. People driving in cars. Bare feet over kill. By the time the ending happened I didn't care anymore. I wanted to LOVE this movie, but I haven't been this bored in a long long time. I wish i felt differently."""
tt0120689,3,"""Frank Darabont's follow up to the Shawshank Redemption is a poorly written and painfully unoriginal story. For starters, the Noble Savage stereotype is racist at best. A character that is misunderstood by society and doesn't want to live in that society due to the character's extreme moral idealism (i.e. edward scissorhands, powder, etc.) is far from new. Coffey's character is not the only one that is one dimensional. Pretty much all the characters' dispositions are made to be one of two things: good or bad. There are no gray lines and it is obvious who the audience is supposed to hate and who they are supposed to root for. It's boring and childish. The frenchman, Michael Jeter, is made up so that we feel completely sorry for him. We're not even allowed to know what his crime was because then we might not love him so much.The prison guards are the most loving forgiving group of prison guards that have ever lived. Hell, they're the most loving forgiving people that ever lived. A prisoner spits in Tom Hanks's face and he actually does nothing about it? My grandmother isn't that nice.Stop reading here if you have not seen the movie.And wasn't it convenient that that prisoner, Sam Rockwell, just happened to be the actual criminal behind Coffey's crime? And when they """"caught"""" Coffey with the girls, can anyone honestly say that if a black man was found with two dead white girls that they would not shoot him? Black men in the 30's, and especially in the South, would be killed for being seen in public with a white woman, much less killing a white child.And when Coffey does die, Tom Hanks doesn't put too much effort into stopping the execution. He just asks Coffey what he should do, and Coffey says nothing, so that's what he does. Of course Coffey must die, because in all racist Noble Savage films the savage must die so that his white savior can learn a valuable lesson.And where is the warden at this point? He said he can't stop the execution, but I find that implausible. I'm sure he could at least try to save the man who saved his wife. And wasn't that a plot twist that was hard to see coming? I also found it interesting that when Coffey healed her, he also did her hair and put makeup on her. The whole movie has no real continuity being that it was adopted from a serial novel. The movie could have ended in about five different places and the audience wouldn't have minded. The only interesting element of this movie is its ending which certainly does not save it. I suppose this movie is more Stephen King's fault than Darabont's, but regardless the movie is a disappointment in front the backdrop of all the superb movies that have been released with it in the past few months."""
tt0119488,3,"""L.A. Confidential is one long dull confusing movie with small sparks that quickly fade and burn out, even a stellar cast including Kevin Spacey and Russell Crowe cant get past the convoluted script that makes so many twists and turns you will get a headache, the acting is good except for one person and that one person is Kim Basinger who for some unknown reason was given an oscar, I say given because her performance in this movie was not only terrible but it was one of the worst I have ever seen. If you like good movies try something else, if you like watching a movie for three hours that bores you to tears and makes you say thanks god that is over try this. 3 out of 10 stars"""
tt0111161,3,"""WEll I had high hopes for this movie.  But it fell way short.  I was hoping it would keep me guessing, but this movie was easy to predict what was going to happen.  Though I did think the acting was good by both main stars.Jason"""
tt0964517,4,"""As any movie of this type has to do, it finally draws you into the protagonist's situation and gets you rooting for him. In this case the protagonist is real-life boxer Mickey Ward (Mark Wahlberg) who has to overcome big odds - not the least of which is an extremely dysfunctional family headed up by his controlling mother Alice (Melissa Leo) and his drug addict brother Dicky (Christian Bale) who used to be a boxer and who's claim to fame was knocking down Sugar Ray Leonard (or did Sugar Ray slip?) and who now wants to live his dream through his brother. I appreciated the fact that Sugar Ray appeared as himself in a couple of brief scenes. By the time Mickey gets his title shot you are rooting for him, and you do admire his strength in overcoming the challenges he's faced. The actual title shot, mind you, struck me as a bit anti- climactic to be honest. It was pretty quickly portrayed and frankly the whole thing ultimately left me a bit empty, although I was satisfied to see Mickey become the champ.For three-quarters of the movie, though, the focus is really on the dysfunctional family relationship, and the challenge presented to that relationship by the sudden appearance of Charlene (Amy Adams) - a local bartender and college dropout who hooks up with Mickey and pushes him to escape his family's controlling influence. This was a good performance from Adams. I found her the most interesting of the cast, because she was playing a character very different from the usual cute and sweet roles I've seen her in, and so she demonstrated a versatility I hadn't seen from her before. Wahlberg and Bale were all right, but I didn't find anything especially noteworthy about their performances.In the end, the biggest weakness of this movie was that it really failed to draw me in until the title fight (and to an extent the fight that led up to the title fight.) I was bored frankly by the family, who struck me as a sort of Massachussetts version of """"white trash"""" and who weren't really all that interesting. I can't imagine growing up with those sisters. Mickey deserves credit just for not punching any of them out. This really didn't do a great deal for me. It offers about half an hour that really intensely interested me, which fizzled out in a truly too abrupt ending and focused mostly on an unappealing family."""
tt9770150,4,"""I am one of those people who live on the road by choice, and have done so for 10 years.I felt as though this movie did not paint a true picture of folk who are houseless, but NOT by choice. Their day to day struggle was only touched on. Safety, security, health, food, fuel costs are all issues faced by these good folk every single hour of every single day.The raw close ups did make you feel every emotion and the scenery was beautiful, but the movie didn't hit the mark for me. The camaraderie with fellow travellers was spot on. We all help each other out, no matter the circumstances.I would be very interested to hear what other permanent travellers think of this movie."""
