MovieID,Title,Trigram,Count
tt7131622,Once Upon a Time in Hollywood,upon time hollywood,5
tt7131622,Once Upon a Time in Hollywood,sharon tate margot,3
tt7131622,Once Upon a Time in Hollywood,tate margot robbie,3
tt0449059,Little Miss Sunshine,little miss sunshine,9
tt0449059,Little Miss Sunshine,olive abigail breslin,3
tt0449059,Little Miss Sunshine,forge strong bond,2
tt0388795,Brokeback Mountain,ennis del mar,2
tt0388795,Brokeback Mountain,well jake gyllenhaal,2
tt0388795,Brokeback Mountain,gay couple accepted,2
tt0190332,"Crouching Tiger, Hidden Dragon",tiger hidden dragon,15
tt0190332,"Crouching Tiger, Hidden Dragon",crouching tiger hidden,13
tt0190332,"Crouching Tiger, Hidden Dragon",li mu bai,7
tt0120689,The Green Mile,michael clarke duncan,3
tt0120689,The Green Mile,john coffey walks,2
tt0120689,The Green Mile,percy wetmore doug,2
tt0119488,L.A. Confidential,russell crowe guy,4
tt0119488,L.A. Confidential,crowe guy pearce,4
tt0119488,L.A. Confidential,kevin spacey russell,3
tt0111161,The Shawshank Redemption,tim robbins morgan,3
tt0111161,The Shawshank Redemption,robbins morgan freeman,3
tt0111161,The Shawshank Redemption,best film time,2
tt0964517,The Fighter,ward mark wahlberg,4
tt0964517,The Fighter,sugar ray leonard,3
tt0964517,The Fighter,based true story,3
tt9770150,Nomadland,billboards outside ebbing,2
tt9770150,Nomadland,outside ebbing missouri,2
tt9770150,Nomadland,one people live,1
tt5052448,Get Out,first time director,2
tt5052448,Get Out,seen stellar job,2
tt5052448,Get Out,went watch film,1
tt0499549,Avatar,james cameron avatar,3
tt0499549,Avatar,e c e,2
tt0499549,Avatar,see avatar first,1
tt0120338,Titanic,kate winslet leonardo,2
tt0120338,Titanic,winslet leonardo dicaprio,2
tt0120338,Titanic,tragic true story,2
