Annie Get Your Gun (1950, Blockbusters), Comedy
Broken Arrow (1950, Blockbusters), Drama
Cheaper By The Dozen (1950, Blockbusters), Comedy
Cinderella (1950, Blockbusters), Action
Samson and Delilah (1950, Blockbusters), Drama
Three Little Words (1950, Blockbusters), Comedy
African Queen (1951, Blockbusters), Action
At War with the Army (1951, Blockbusters), Comedy
David and Bathsheba (1951, Blockbusters), Drama
Show Boat (1951, Blockbusters), Drama
Thats My Boy (1951, Blockbusters), Comedy
The Great Caruso (1951, Blockbusters), Drama
Hans Christian Andersen (1952, Blockbusters), Drama
Jumping Jacks (1952, Blockbusters), Comedy
Sailor Beware (1952, Blockbusters), Comedy
The Snows of Kilimanjaro (1952, Blockbusters), Action
Gentlemen Prefer Blondes (1953, Blockbusters), Comedy
House of Wax (1953, Blockbusters), Thriller
How To Marry A Millionaire (1953, Blockbusters), Comedy
Knights Of The Round Table (1953, Blockbusters), Action
Mogambo (1953, Blockbusters), Action
Peter Pan (1953, Blockbusters), Action
Salome (1953, Blockbusters), Drama
A Star Is Born (1954, Blockbusters), Comedy
Magnificent Obsession (1954, Blockbusters), Drama
Rear Window (1954, Blockbusters), Thriller
The Glenn Miller Story (1954, Blockbusters), Drama
There's No Business Like Show Business (1954, Blockbusters), Comedy
White Christmas (1954, Blockbusters), Comedy
Battle Cry (1955, Blockbusters), Drama
Guys and Dolls (1955, Blockbusters), Comedy
I'll Cry Tomorrow (1955, Blockbusters), Drama
Lady and the Tramp (1955, Blockbusters), Action
Not as a Stranger (1955, Blockbusters), Drama
Oklahoma (1955, Blockbusters), Comedy
Strategic Air Command (1955, Blockbusters), Action
The Sea Chase (1955, Blockbusters), Action
The Seven Year Itch (1955, Blockbusters), Comedy
High Society (1956, Blockbusters), Comedy
The Eddy Duchin Story (1956, Blockbusters), Drama
The Teahouse Of The August Moon (1956, Blockbusters), Comedy
Trapeze (1956, Blockbusters), Drama
War And Peace (1956, Blockbusters), Drama
A farewell to arms (1957, Blockbusters), Drama
Gunfight At The Ok Corral (1957, Blockbusters), Drama
Island in the Sun (1957, Blockbusters), Drama
Old Yeller (1957, Blockbusters), Action
Pal Joey (1957, Blockbusters), Drama
Raintree County (1957, Blockbusters), Drama
The Three Faces of Eve (1957, Blockbusters), Drama
Indiscreet (1958, Blockbusters), Comedy
No Time for Sergeants (1958, Blockbusters), Comedy
Some Came Running (1958, Blockbusters), Drama
South Pacific (1958, Blockbusters), Drama
The Inn Of The Sixth Happiness (1958, Blockbusters), Drama
The Vikings (1958, Blockbusters), Action
The Young Lions (1958, Blockbusters), Action
Imitation of Life (1959, Blockbusters), Drama
North by Northwest (1959, Blockbusters), Action
Operation Petticoat (1959, Blockbusters), Comedy
Pillow Talk (1959, Blockbusters), Comedy
Some Like It Hot (1959, Blockbusters), Comedy
Suddenly last summer (1959, Blockbusters), Thriller
The Shaggy Dog (1959, Blockbusters), Comedy
Butterfield (1960, Blockbusters), Drama
Exodus (1960, Blockbusters), Action
From the Terrace (1960, Blockbusters), Drama
Ocean's Eleven (1960, Blockbusters), Action
Psycho (1960, Blockbusters), Thriller
Spartacus (1960, Blockbusters), Action
Swiss Family Robinson (1960, Blockbusters), Action
The World of Suzie Wong (1960, Blockbusters), Drama
Come September (1961, Blockbusters), Comedy
El Cid (1961, Blockbusters), Drama
King of Kings (1961, Blockbusters), Drama
La Dolce Vita (1961, Blockbusters), Comedy
Lover Come Back (1961, Blockbusters), Comedy
One Hundred and One Dalmatians (1961, Blockbusters), Action
The Absent-Minded Professor (1961, Blockbusters), Comedy
The Parent Trap (1961, Blockbusters), Comedy
Bon Voyage (1962, Blockbusters), Action
Gypsy (1962, Blockbusters), Comedy
Hatari! (1962, Blockbusters), Action
In Search of the Castaways (1962, Blockbusters), Action
That Touch of Mink (1962, Blockbusters), Comedy
Bye Bye Birdie (1963, Blockbusters), Comedy
Charade (1963, Blockbusters), Drama
Come Blow Your Horn (1963, Blockbusters), Comedy
Irma La Douce (1963, Blockbusters), Comedy
It's A Mad Mad Mad Mad World (1963, Blockbusters), Action
Move Over, Darling (1963, Blockbusters), Comedy
Son of Flubber (1963, Blockbusters), Comedy
The Great Escape (1963, Blockbusters), Action
A Hard Days Night (1964, Blockbusters), Comedy
A Shot In The Dark (1964, Blockbusters), Comedy
From Russia With Love (1964, Blockbusters), Action
Goldfinger (1964, Blockbusters), Action
The Carpetbaggers (1964, Blockbusters), Drama
The Pink Panther (1964, Blockbusters), Comedy
The Unsinkable Molly Brown (1964, Blockbusters), Comedy
What A Way to Go! (1964, Blockbusters), Comedy
Cat Ballou (1965, Blockbusters), Comedy
Shenandoah (1965, Blockbusters), Drama
That Darn Cat (1965, Blockbusters), Comedy
The Great Race (1965, Blockbusters), Action
Those Magnificent Men in Their Flying Machines (1965, Blockbusters), Action
Thunderball (1965, Blockbusters), Action
Von Ryans Express (1965, Blockbusters), Action
Whats New Pussycat (1965, Blockbusters), Comedy
Georgy Girl (1966, Blockbusters), Comedy
Grand Prix (1966, Blockbusters), Drama
Hawaii (1966, Blockbusters), Drama
The Bible (1966, Blockbusters), Drama
The Professionals (1966, Blockbusters), Action
Camelot (1967, Blockbusters), Action
The Dirty Dozen (1967, Blockbusters), Action
The Jungle Book (1967, Blockbusters), Action
Thoroughly Modern Millie (1967, Blockbusters), Comedy
To Sir,with Love (1967, Blockbusters), Drama
Valley of the Dolls (1967, Blockbusters), Drama
You Only Live Twice (1967, Blockbusters), Action
2001-A Space Odyssey (1968, Blockbusters), Action
Bullitt (1968, Blockbusters), Action
Planet of the Apes (1968, Blockbusters), Action
Rosemary's Baby (1968, Blockbusters), Thriller
The Odd Couple (1968, Blockbusters), Comedy
Yours Mine and Ours (1968, Blockbusters), Comedy
Bob & Carol & Ted & Alice (1969, Blockbusters), Comedy
Cactus Flower (1969, Blockbusters), Comedy
Easy Rider (1969, Blockbusters), Action
Goodbye,Columbus (1969, Blockbusters), Comedy
Paint Your Wagon (1969, Blockbusters), Comedy
The Love Bug (1969, Blockbusters), Comedy
True Grit (1969, Blockbusters), Drama
Catch-22 (1970, Blockbusters), Comedy
Little Big Man (1970, Blockbusters), Action
Ryan's Daughter (1970, Blockbusters), Drama
The Owl and The Pussycat (1970, Blockbusters), Comedy
Tora!Tora!Tora! (1970, Blockbusters), Action
Woodstock (1970, Blockbusters), Action
Billy Jack (1971, Blockbusters), Action
Carnal Knowledge (1971, Blockbusters), Comedy
Diamonds Are Forever (1971, Blockbusters), Action
Dirty Harry (1971, Blockbusters), Action
Summer of '42 (1971, Blockbusters), Drama
Sweet Sweetback's Baadasssss Song (1971, Blockbusters), Action
Brothers of the Wind (1972, Blockbusters), Action
Deep Throat (1972, Blockbusters), Comedy
Jeremiah Johnson (1972, Blockbusters), Action
Lady Sings the Blues (1972, Blockbusters), Drama
The Getaway (1972, Blockbusters), Action
